Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781592475,1000,,Aggregated,222.800000,177.700000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,95632,76159,830,1723.9345238225715,4.383600000437582,23398.34079999855,850.4596578551112
1781592476,1000,,Aggregated,221.500000,175.000000,830,1000,1200,1400,3900,9000,13000,16000,21000,23000,23000,95893,76372,830,1721.76394565714,4.383600000437582,23398.34079999855,849.7212205270457
1781592477,1000,,Aggregated,219.300000,174.200000,830,1000,1200,1400,3900,9000,13000,15000,21000,23000,23000,96116,76540,830,1719.7096802759158,4.383600000437582,23398.34079999855,848.9561987598319
1781592478,1000,,Aggregated,219.300000,175.400000,830,1000,1200,1400,3900,9000,13000,15000,21000,23000,23000,96329,76711,830,1717.992296926159,4.383600000437582,23398.34079999855,848.0355448514985
1781592479,1000,,Aggregated,225.900000,180.700000,830,1000,1200,1400,3900,9000,13000,15000,21000,23000,23000,96525,76862,830,1716.8947922507139,4.383600000437582,23398.34079999855,847.2114996114996
1781592480,1000,,Aggregated,226.100000,180.600000,830,1000,1200,1400,3900,8900,13000,15000,21000,23000,23000,96742,77044,830,1715.9513287930795,4.383600000437582,23398.34079999855,846.3570321060139
1781592481,1000,,Aggregated,232.400000,185.800000,830,1000,1200,1400,3900,9000,13000,15000,21000,23000,23000,96950,77207,830,1715.9139821392494,4.383600000437582,23398.34079999855,845.523527591542
1781592482,1000,,Aggregated,235.500000,187.900000,830,1000,1200,1400,3900,9000,13000,15000,21000,23000,23000,97168,77385,830,1716.2600564743555,4.383600000437582,23398.34079999855,844.5924892968878
1781592483,1000,,Aggregated,235.100000,187.400000,830,1000,1200,1400,3900,9000,12000,15000,21000,23000,23000,97397,77581,830,1716.365385111453,4.383600000437582,23398.34079999855,843.8387013973736
1781592484,1000,,Aggregated,232.400000,184.900000,830,1000,1200,1400,3900,9000,13000,15000,21000,23000,23000,97598,77741,830,1717.09978653866,4.383600000437582,23398.34079999855,843.2040615586385
1781592485,1000,,Aggregated,227.700000,182.400000,830,1000,1200,1400,3900,9000,12000,15000,21000,23000,23000,97830,77928,830,1716.753693207605,4.383600000437582,23398.34079999855,842.5840948584279
1781592486,1000,,Aggregated,224.300000,181.800000,830,1000,1200,1400,3800,9000,12000,15000,21000,23000,23000,98053,78111,830,1716.214895787991,4.383600000437582,23398.34079999855,841.9899850081079
1781592487,1000,,Aggregated,219.600000,176.900000,830,1000,1200,1400,3800,9000,12000,15000,21000,23000,23000,98280,78287,830,1715.1720265048803,4.383600000437582,23398.34079999855,841.3571225071225
